state	receive		action		state/(nontermainalID,subID):
72	!		1	shift-expression	0
72	!=		1	shift-expression	0
72	%		1	shift-expression	0
72	%=		1	shift-expression	0
72	&		1	shift-expression	0
72	&&		1	shift-expression	0
72	&=		1	shift-expression	0
72	(		1	shift-expression	0
72	)		1	shift-expression	0
72	*		1	shift-expression	0
72	*=		1	shift-expression	0
72	+		0	145
72	++		1	shift-expression	0
72	+=		1	shift-expression	0
72	,		1	shift-expression	0
72	-		0	146
72	--		1	shift-expression	0
72	-=		1	shift-expression	0
72	->		1	shift-expression	0
72	/		1	shift-expression	0
72	/=		1	shift-expression	0
72	:		1	shift-expression	0
72	;		1	shift-expression	0
72	<		1	shift-expression	0
72	<<		1	shift-expression	0
72	<<=		1	shift-expression	0
72	<=		1	shift-expression	0
72	=		1	shift-expression	0
72	==		1	shift-expression	0
72	>		1	shift-expression	0
72	>=		1	shift-expression	0
72	>>		1	shift-expression	0
72	>>=		1	shift-expression	0
72	?		1	shift-expression	0
72	[		1	shift-expression	0
72	]		1	shift-expression	0
72	^		1	shift-expression	0
72	^=		1	shift-expression	0
72	_KULV_END_		1	shift-expression	0
72	auto		1	shift-expression	0
72	break		1	shift-expression	0
72	case		1	shift-expression	0
72	char		1	shift-expression	0
72	character-constant		1	shift-expression	0
72	const		1	shift-expression	0
72	continue		1	shift-expression	0
72	default		1	shift-expression	0
72	do		1	shift-expression	0
72	double		1	shift-expression	0
72	else		1	shift-expression	0
72	enumeration-constant		1	shift-expression	0
72	extern		1	shift-expression	0
72	float		1	shift-expression	0
72	floating-constant		1	shift-expression	0
72	for		1	shift-expression	0
72	goto		1	shift-expression	0
72	identifier		1	shift-expression	0
72	if		1	shift-expression	0
72	int		1	shift-expression	0
72	integer-constant		1	shift-expression	0
72	long		1	shift-expression	0
72	register		1	shift-expression	0
72	return		1	shift-expression	0
72	short		1	shift-expression	0
72	signed		1	shift-expression	0
72	sizeof		1	shift-expression	0
72	static		1	shift-expression	0
72	string-constant		1	shift-expression	0
72	switch		1	shift-expression	0
72	typedef		1	shift-expression	0
72	unsigned		1	shift-expression	0
72	void		1	shift-expression	0
72	volatile		1	shift-expression	0
72	while		1	shift-expression	0
72	{		1	shift-expression	0
72	|		1	shift-expression	0
72	|=		1	shift-expression	0
72	||		1	shift-expression	0
72	}		1	shift-expression	0
72	~		1	shift-expression	0
200	!		1	unary-expression	3
200	!=		1	unary-expression	3
200	%		1	unary-expression	3
200	%=		1	unary-expression	3
200	&		1	unary-expression	3
200	&&		1	unary-expression	3
200	&=		1	unary-expression	3
200	(		1	unary-expression	3
200	)		1	unary-expression	3
200	*		1	unary-expression	3
200	*=		1	unary-expression	3
200	+		1	unary-expression	3
200	++		1	unary-expression	3
200	+=		1	unary-expression	3
200	,		1	unary-expression	3
200	-		1	unary-expression	3
200	--		1	unary-expression	3
200	-=		1	unary-expression	3
200	->		1	unary-expression	3
200	/		1	unary-expression	3
200	/=		1	unary-expression	3
200	:		1	unary-expression	3
200	;		1	unary-expression	3
200	<		1	unary-expression	3
200	<<		1	unary-expression	3
200	<<=		1	unary-expression	3
200	<=		1	unary-expression	3
200	=		1	unary-expression	3
200	==		1	unary-expression	3
200	>		1	unary-expression	3
200	>=		1	unary-expression	3
200	>>		1	unary-expression	3
200	>>=		1	unary-expression	3
200	?		1	unary-expression	3
200	[		1	unary-expression	3
200	]		1	unary-expression	3
200	^		1	unary-expression	3
200	^=		1	unary-expression	3
200	_KULV_END_		1	unary-expression	3
200	auto		1	unary-expression	3
200	break		1	unary-expression	3
200	case		1	unary-expression	3
200	char		1	unary-expression	3
200	character-constant		1	unary-expression	3
200	const		1	unary-expression	3
200	continue		1	unary-expression	3
200	default		1	unary-expression	3
200	do		1	unary-expression	3
200	double		1	unary-expression	3
200	else		1	unary-expression	3
200	enumeration-constant		1	unary-expression	3
200	extern		1	unary-expression	3
