state	receive	newState

8	compound-statement	42
8	declaration	39
8	declaration-list	40
8	declaration-specifiers	41
8	storage-class-specifier	23
8	type-qualifier	25
8	type-specifier	26
40	compound-statement	60
40	declaration	59
40	declaration-specifiers	41
40	storage-class-specifier	23
40	type-qualifier	25
40	type-specifier	26
168	cast-expression	243
168	constant	80
168	postfix-expression	103
168	primary-expression	104
168	unary-expression	130
168	unary-operator	115
328	AND-expression	71
328	additive-expression	72
328	assignment-expression	73
328	cast-expression	76
328	compound-statement	78
328	conditional-expression	79
328	constant	80
328	equality-expression	86
328	exclusive-OR-expression	87
328	expression	88
328	expression-statement	89
328	inclusive-OR-expression	95
328	iteration-statement	97
328	jump-statement	98
328	labeled-statement	99
328	logical-AND-expression	100
328	logical-OR-expression	101
328	multiplicative-expression	102
328	postfix-expression	103
328	primary-expression	104
328	relational-expression	105
328	selection-statement	107
328	shift-expression	108
328	statement	332
328	unary-expression	114
328	unary-operator	115
145	cast-expression	76
145	constant	80
145	multiplicative-expression	223
145	postfix-expression	103
145	primary-expression	104
145	unary-expression	130
145	unary-operator	115
177	additive-expression	72
177	cast-expression	76
177	constant	80
177	multiplicative-expression	102
177	postfix-expression	103
177	primary-expression	104
177	shift-expression	252
177	unary-expression	130
177	unary-operator	115
26	declaration-specifiers	50
26	storage-class-specifier	23
26	type-qualifier	25
26	type-specifier	26
58	declarator	61
58	direct-declarator	9
58	init-declarator	135
58	pointer	18
154	additive-expression	72
154	cast-expression	76
154	constant	80
154	multiplicative-expression	102
154	postfix-expression	103
154	primary-expression	104
154	relational-expression	229
154	shift-expression	108
154	unary-expression	130
154	unary-operator	115
218	direct-abstract-declarator	268
282	AND-expression	71
282	additive-expression	72
282	assignment-expression	305
282	cast-expression	76
282	conditional-expression	79
282	constant	80
282	equality-expression	86
282	exclusive-OR-expression	87
282	inclusive-OR-expression	95
282	logical-AND-expression	100
282	logical-OR-expression	101
282	multiplicative-expression	102
282	postfix-expression	103
282	primary-expression	104
282	relational-expression	105
282	shift-expression	108
282	unary-expression	114
282	unary-operator	115
67	constant	80
67	postfix-expression	103
67	primary-expression	104
67	unary-expression	142
67	unary-operator	115
163	AND-expression	71
163	additive-expression	72
163	cast-expression	76
163	constant	80
163	equality-expression	86
163	exclusive-OR-expression	238
163	multiplicative-expression	102
163	postfix-expression	103
163	primary-expression	104
163	relational-expression	105
163	shift-expression	108
163	unary-expression	130
163	unary-operator	115
44	declaration-specifiers	119
44	identifier-list	121
44	parameter-declaration	124
44	parameter-list	125
44	parameter-type-list	122
44	storage-class-specifier	23
44	type-qualifier	25
44	type-specifier	26
140	specifier-qualifier-list	221
140	type-qualifier	139
140	type-specifier	140
300	AND-expression	71
300	additive-expression	72
300	assignment-expression	73
300	cast-expression	76
300	conditional-expression	79
300	constant	80
300	equality-expression	86
300	exclusive-OR-expression	87
300	expression	314
300	inclusive-OR-expression	95
300	logical-AND-expression	100
300	logical-OR-expression	101
300	multiplicative-expression	102
300	postfix-expression	103
300	primary-expression	104
300	relational-expression	105
300	shift-expression	108
300	unary-expression	114
300	unary-operator	115
181	additive-expression	255
181	cast-expression	76
181	constant	80
181	multiplicative-expression	102
181	postfix-expression	103
181	primary-expression	104
181	unary-expression	130
181	unary-operator	115
277	AND-expression	71
277	additive-expression	72
277	assignment-expression	73
277	cast-expression	76
277	conditional-expression	79
277	constant	80
277	equality-expression	86
277	exclusive-OR-expression	87
277	expression	298
277	inclusive-OR-expression	95
277	logical-AND-expression	100
277	logical-OR-expression	101
277	multiplicative-expression	102
277	postfix-expression	103
277	primary-expression	104
277	relational-expression	105
277	shift-expression	108
277	unary-expression	114
277	unary-operator	115
286	AND-expression	71
286	additive-expression	72
286	assignment-expression	73
286	cast-expression	76
286	compound-statement	78
286	conditional-expression	79
286	constant	80
286	equality-expression	86
286	exclusive-OR-expression	87
286	expression	88
286	expression-statement	89
286	inclusive-OR-expression	95
286	iteration-statement	97
